1,REVOLUTIONARY ORGANIZATION 17 NOVEMBER,,Revolutionary Organization 17 November,P&M&BM&Y$$$$$$$Y&M&W&~$$$$$,TERRORISM,,,,.,.,
12,ABD-AL-GHAFUR,Humam abd-al-Khaliq,Humam Abd-Al-Khaliq Abd-Al-Ghafur,F&M&Y$$$$$$$$$$&$$$$$$$$$$$,POLITICAL INDIVIDUAL,Dr,PEP,Former Cabinet Minister,.,1945:00:00,"ar-Ramadi, Iraq; Ar-Ramadi, Iraq; Ar-Ramadi"
68,ELADLI,Habib Ibrahim Habib,Habib Ibrahim Habib Eladli,&W&8W7$$$$$$$$$2&M&M$$$$$$$,POLITICAL INDIVIDUAL,,PEP,Former Cabinet Minister,.,1938:03:00,Egypt
86,AL-AHMAD,Mahmud Dhiyab,Mahmud Dhiyab Al-Ahmad,&W&B&8$$$$$$$$$B&B&8$$$$$$$,POLITICAL INDIVIDUAL,,PEP,Minister of Interior,.,1953:00:00,"Mosul, Iraq; Baghdad, Iraq; Baghdad or Mosul"
152,AL-ASSAD,Bashar,Bashar Al-Assad,&W&4&8$$$$$$$$$M&42&Y$$$$$$,POLITICAL INDIVIDUAL,,PEP,President of the Syrian Arab Republic,.,1965:09:00,"Damascus, Syria; Damascus; Damascus, Syrian Arab Republic"
173,GAMA'A AL-ISLAMIYYA,,Gama'A Al-Islamiyya,&W&4W&B&&&$$$$$F&B&$$$$$$$$,TERRORISM,,,,.,.,
193,AL-JIHAD,,Al-Jihad,&WF&2&8$$$$$$$$$$$$$$$$$$$$,TERRORISM,,,,.,.,
287,ARMED ISLAMIC GROUP,,Armed Islamic Group,&4W&B&3$$$$$$$$$$$$$$$$$$$$,TERRORISM,,,,.,.,
337,AZIZ,Tariq,Tariq Aziz,&4&4$$$$$$$$$$$~&Y&3$$$$$$$,POLITICAL INDIVIDUAL,,PEP,Deputy Prime Minister,.,1936:07:00,"Tell Kaif, Mosul, Iraq; Baghdad, Iraq; Mosul, Iraq; Mosul or Baghdad; Mosul , Iraq"
339,AL-AZZAWI,Hikmat Mizban Ibrahim,Hikmat Mizban Ibrahim Al-Azzawi,&W&4&&7$$$$$$$$2&3B&~$$$$$$,POLITICAL INDIVIDUAL,,PEP,Deputy Prime Minister and Finance Minister,.,1934:00:00,"Diyala, Iraq; Alt POB Diyala"
396,EUZKADI TA ASKATASUNA,,Euzkadi Ta Askatasuna,&43&~&4&B&$$$$$&&43&87$$$$$,TERRORISM,,PEP,,.,.,
533,RED BRIGADES,,Red Brigades,MY&F&8$$$$$$$$$Y&8$$$$$$$$$,TERRORISM,,,,.,.,
733,NEW PEOPLE'S ARMY / COMMUNIST PARTY OF THE PHILIPPINES,,New People'S Army / Communist Party Of The Philippines,3&B&B&4~$$$$$$$P$$$$$$$$$$$,TERRORISM,,PEP,,.,.,
886,REVOLUTIONARY PEOPLE'S LIBERATION PARTY/FRONT,,Revolutionary People'S Liberation Party/Front,GY&B~$$$$$$$$$$Y&M&W&~$$$$$,TERRORISM,,,,.,.,
951,DORDA,Abu Zaid,Abu Zaid Dorda,8&Y8&$$$$$$$$$$&M#$$$$$$$$$,CRIME - WAR,,PEP,"Director, External Security Organisation. Head of external intelligence agency",.,1944:04:00,"Rhebat, Libya"
1013,NATIONAL LIBERATION ARMY,,National Liberation Army,&YB7$$$$$$$$$$$W&M&Y&~$$$$$,TERRORISM,,,,.,.,
1053,REVOLUTIONARY ARMED FORCES OF COLOMBIA,,Revolutionary Armed Forces Of Colombia,3&W&BM&&$$$$$$$Y&M&W&~$$$$$,TERRORISM,,,,.,.,
1313,HAMAS,,Hamas,2&B&$$$$$$$$$$$$$$$$$$$$$$$,TERRORISM,,PEP,,.,.,
